step,agnet1,agnet2,agnet3,agnet4
0,"[-1.1419676542282104, 3.655717134475708]","[-3.454312562942505, 1.4040991067886353]","[-3.411144495010376, -0.7948064208030701]","[2.0657246112823486, 2.632910966873169]"
1,"[-1.1206833124160767, 3.431281089782715]","[-3.443618059158325, 1.2333818674087524]","[-3.266573905944824, -0.7066922187805176]","[1.8226946592330933, 2.4874885082244873]"
2,"[-1.065270185470581, 3.2323102951049805]","[-3.429429531097412, 1.1032156944274902]","[-3.146209955215454, -0.6380470395088196]","[1.5847539901733398, 2.360109806060791]"
3,"[-0.985238790512085, 3.052353620529175]","[-3.4131596088409424, 1.0042113065719604]","[-3.0447285175323486, -0.5839776992797852]","[1.3541576862335205, 2.245619058609009]"
4,"[-0.8885326385498047, 2.8864333629608154]","[-3.3956687450408936, 0.9286907911300659]","[-2.957531690597534, -0.540324330329895]","[1.1334768533706665, 2.139266014099121]"
5,"[-0.8440358638763428, 2.7577946186065674]","[-3.3774914741516113, 0.8705565929412842]","[-2.8809032440185547, -0.503878653049469]","[0.9842280149459839, 2.024733066558838]"
6,"[-0.8431278467178345, 2.660327911376953]","[-3.358947992324829, 0.825106680393219]","[-2.811957597732544, -0.47231724858283997]","[0.8940249085426331, 1.904637098312378]"
7,"[-0.839442789554596, 2.5713343620300293]","[-3.340212106704712, 0.7888094782829285]","[-2.748506784439087, -0.4440297782421112]","[0.8154072165489197, 1.7885230779647827]"
8,"[-0.8336776494979858, 2.4884324073791504]","[-3.321355104446411, 0.7590695023536682]","[-2.688915491104126, -0.4179359972476959]","[0.7461180686950684, 1.6757937669754028]"
9,"[-0.826317310333252, 2.4097681045532227]","[-3.3023808002471924, 0.7340126633644104]","[-2.631971597671509, -0.3933316767215729]","[0.6844673156738281, 1.566218614578247]"
10,"[-0.8176941275596619, 2.333904504776001]","[-3.283255100250244, 0.712302565574646]","[-2.576780319213867, -0.36977043747901917]","[0.6292238235473633, 1.4598519802093506]"
11,"[-0.8080280423164368, 2.259727716445923]","[-3.2639193534851074, 0.6929967999458313]","[-2.5226869583129883, -0.3469795286655426]","[0.5795135498046875, 1.3569598197937012]"
12,"[-0.797456681728363, 2.1863789558410645]","[-3.2443060874938965, 0.6754347681999207]","[-2.469210386276245, -0.32480165362358093]","[0.5347216129302979, 1.2579500675201416]"
13,"[-0.7860568165779114, 2.113201141357422]","[-3.2243475914001465, 0.6591551899909973]","[-2.4160053730010986, -0.30315473675727844]","[0.4944080412387848, 1.1633038520812988]"
14,"[-0.7738603949546814, 2.0397026538848877]","[-3.2039802074432373, 0.6438369154930115]","[-2.3628311157226562, -0.28200915455818176]","[0.45823225378990173, 1.07351553440094]"
15,"[-0.760867714881897, 1.9655309915542603]","[-3.1831443309783936, 0.6292555928230286]","[-2.309523820877075, -0.2613677978515625]","[0.4258982539176941, 0.9890331625938416]"
16,"[-0.7470546364784241, 1.8904573917388916]","[-3.1617889404296875, 0.6152538061141968]","[-2.2559876441955566, -0.2412581443786621]","[0.39711061120033264, 0.910210371017456]"
17,"[-0.7323837280273438, 1.8143683671951294]","[-3.139869451522827, 0.6017196178436279]","[-2.202176570892334, -0.22172296047210693]","[0.3715561032295227, 0.8372678756713867]"
18,"[-0.716810941696167, 1.7372626066207886]","[-3.117349863052368, 0.5885724425315857]","[-2.1480844020843506, -0.20281271636486053]","[0.3488938808441162, 0.7702713012695312]"
19,"[-0.7002934217453003, 1.6592508554458618]","[-3.09419584274292, 0.5757532715797424]","[-2.093735933303833, -0.1845826655626297]","[0.32876458764076233, 0.7091284394264221]"
20,"[-0.68279629945755, 1.5805555582046509]","[-3.070380210876465, 0.5632179379463196]","[-2.039175033569336, -0.16708363592624664]","[0.3108047544956207, 0.6536029577255249]"
21,"[-0.6642990708351135, 1.501509428024292]","[-3.04587984085083, 0.5509307384490967]","[-1.9844551086425781, -0.15036049485206604]","[0.29466512799263, 0.6033457517623901]"
22,"[-0.6448030471801758, 1.4225457906723022]","[-3.020672082901001, 0.5388644933700562]","[-1.9296321868896484, -0.1344471275806427]","[0.28002822399139404, 0.5579321384429932]"
23,"[-0.6243351697921753, 1.3441834449768066]","[-2.994737148284912, 0.5269960165023804]","[-1.874759316444397, -0.11936521530151367]","[0.26661795377731323, 0.5168989300727844]"
24,"[-0.6029521226882935, 1.2670029401779175]","[-2.968057155609131, 0.5153051018714905]","[-1.8198835849761963, -0.10512329638004303]","[0.2542058229446411, 0.47977957129478455]"
25,"[-0.5807417035102844, 1.1916120052337646]","[-2.940612316131592, 0.5037744045257568]","[-1.765044093132019, -0.0917195975780487]","[0.2426101565361023, 0.4461279809474945]"
26,"[-0.5578226447105408, 1.118606686592102]","[-2.9123833179473877, 0.492388516664505]","[-1.7102755308151245, -0.07914161682128906]","[0.23169223964214325, 0.4155343770980835]"
27,"[-0.5343414545059204, 1.048530101776123]","[-2.8833506107330322, 0.48113277554512024]","[-1.655609130859375, -0.06737136095762253]","[0.22134912014007568, 0.3876335918903351]"
28,"[-0.5104677677154541, 0.9818344712257385]","[-2.853492021560669, 0.4699946343898773]","[-1.6010769605636597, -0.05638499557971954]","[0.21150583028793335, 0.3621065020561218]"
29,"[-0.486387699842453, 0.9188542366027832]","[-2.822784662246704, 0.45896103978157043]","[-1.5467133522033691, -0.04615531861782074]","[0.20210841298103333, 0.3386777341365814]"
30,"[-0.46229544281959534, 0.8597882986068726]","[-2.7912042140960693, 0.448019802570343]","[-1.492558479309082, -0.03665417432785034]","[0.1931186467409134, 0.3171115517616272]"
31,"[-0.438383549451828, 0.8047031164169312]","[-2.7587220668792725, 0.4371594488620758]","[-1.4386591911315918, -0.027852175757288933]","[0.18450921773910522, 0.2972066402435303]"
32,"[-0.41483327746391296, 0.7535459995269775]","[-2.7253105640411377, 0.42636772990226746]","[-1.3850699663162231, -0.019717751070857048]","[0.17625893652439117, 0.2787911295890808]"
33,"[-0.3918076753616333, 0.7061671018600464]","[-2.6909377574920654, 0.41563233733177185]","[-1.3318558931350708, -0.012220827862620354]","[0.16835178434848785, 0.2617167532444]"
34,"[-0.3694440424442291, 0.6623483896255493]","[-2.6555707454681396, 0.4049408733844757]","[-1.2790895700454712, -0.0053300391882658005]","[0.16077370941638947, 0.24585627019405365]"
35,"[-0.34785181283950806, 0.6218319535255432]","[-2.6191728115081787, 0.3942802846431732]","[-1.2268528938293457, 0.0009861160069704056]","[0.15351302921772003, 0.23109887540340424]"
36,"[-0.32711127400398254, 0.5843424201011658]","[-2.581707000732422, 0.38363704085350037]","[-1.1752351522445679, 0.00675918348133564]","[0.14655844867229462, 0.2173476666212082]"
37,"[-0.30727583169937134, 0.5496060848236084]","[-2.543133020401001, 0.3729969561100006]","[-1.1243326663970947, 0.012020612135529518]","[0.13989947736263275, 0.20451737940311432]"
38,"[-0.28837451338768005, 0.5173634886741638]","[-2.503408432006836, 0.3623451888561249]","[-1.0742459297180176, 0.016801776364445686]","[0.1335258185863495, 0.19253219664096832]"
39,"[-0.2704172134399414, 0.4873768389225006]","[-2.4624898433685303, 0.35166653990745544]","[-1.025078535079956, 0.021133245900273323]","[0.1274271160364151, 0.1813250631093979]"
40,"[-0.25339779257774353, 0.4594320058822632]","[-2.420332670211792, 0.340945839881897]","[-0.9769340753555298, 0.02504478581249714]","[0.12159346044063568, 0.17083559930324554]"
41,"[-0.23729902505874634, 0.43334031105041504]","[-2.3768908977508545, 0.3301675617694855]","[-0.929914116859436, 0.028564559295773506]","[0.11601477861404419, 0.16100963950157166]"
42,"[-0.22209522128105164, 0.4089354872703552]","[-2.3321194648742676, 0.31931716203689575]","[-0.8841156959533691, 0.0317196324467659]","[0.11068147420883179, 0.15179771184921265]"
43,"[-0.2077556699514389, 0.3860722482204437]","[-2.2859742641448975, 0.30838167667388916]","[-0.8396281003952026, 0.034535378217697144]","[0.1055840402841568, 0.1431555598974228]"
44,"[-0.19424580037593842, 0.36462366580963135]","[-2.2384138107299805, 0.2973501980304718]","[-0.7965312004089355, 0.037034839391708374]","[0.10071322321891785, 0.13504280149936676]"
45,"[-0.18152979016304016, 0.3444777727127075]","[-2.1894023418426514, 0.2862154543399811]","[-0.7548935413360596, 0.039239950478076935]","[0.09605956077575684, 0.12742240726947784]"
46,"[-0.16957087814807892, 0.32553571462631226]","[-2.138909339904785, 0.2749749720096588]","[-0.7147698402404785, 0.041169971227645874]","[0.09161467850208282, 0.12026040256023407]"
47,"[-0.15833227336406708, 0.30770954489707947]","[-2.0869147777557373, 0.2636321485042572]","[-0.6762019991874695, 0.042842358350753784]","[0.08736942708492279, 0.11352598667144775]"
48,"[-0.14777784049510956, 0.29092085361480713]","[-2.0334115028381348, 0.2521984875202179]","[-0.6392171382904053, 0.04427272826433182]","[0.08331596851348877, 0.1071905791759491]"
49,"[-0.13787227869033813, 0.27509838342666626]","[-1.9784080982208252, 0.2406942993402481]","[-0.6038275957107544, 0.04547584801912308]","[0.07944568246603012, 0.1012280136346817]"
50,"[-0.12858133018016815, 0.2601778209209442]","[-1.9219328165054321, 0.22915039956569672]","[-0.5700334906578064, 0.04646545648574829]","[0.07575102150440216, 0.09561379253864288]"
51,"[-0.11987152695655823, 0.24610082805156708]","[-1.8640375137329102, 0.21760928630828857]","[-0.537821888923645, 0.047253236174583435]","[0.07222451269626617, 0.09032591432332993]"
52,"[-0.11171099543571472, 0.23281370103359222]","[-1.8048006296157837, 0.2061241716146469]","[-0.5071691274642944, 0.04785161465406418]","[0.06885872036218643, 0.0853433907032013]"
53,"[-0.10406894981861115, 0.2202673852443695]","[-1.7443307638168335, 0.19476036727428436]","[-0.478042870759964, 0.048271872103214264]","[0.06564684212207794, 0.08064715564250946]"
54,"[-0.09691587090492249, 0.20841600000858307]","[-1.6827682256698608, 0.1835927814245224]","[-0.45040270686149597, 0.04852547496557236]","[0.06258195638656616, 0.07621963322162628]"
55,"[-0.09022355079650879, 0.19721795618534088]","[-1.620285987854004, 0.1727035492658615]","[-0.4242022633552551, 0.04862360656261444]","[0.05965770035982132, 0.07204373180866241]"
56,"[-0.08396512269973755, 0.1866338849067688]","[-1.5570884943008423, 0.16217933595180511]","[-0.3993903696537018, 0.048577435314655304]","[0.056867875158786774, 0.06810440868139267]"
57,"[-0.0781148225069046, 0.17662814259529114]","[-1.493410587310791, 0.15210773050785065]","[-0.3759138882160187, 0.04839771240949631]","[0.0542062446475029, 0.06438731402158737]"
58,"[-0.07264818251132965, 0.16716691851615906]","[-1.4295122623443604, 0.14257170259952545]","[-0.35371673107147217, 0.04809555411338806]","[0.05166749283671379, 0.06087891757488251]"
59,"[-0.06754200160503387, 0.158218652009964]","[-1.3656758069992065, 0.13364644348621368]","[-0.3327426612377167, 0.04768174886703491]","[0.0492459274828434, 0.05756714940071106]"
60,"[-0.06277434527873993, 0.14975421130657196]","[-1.3021959066390991, 0.12539555132389069]","[-0.3129345178604126, 0.04716695845127106]","[-0.8425846099853516, 2.4216203689575195]"
61,"[-0.05832419916987419, 0.14174607396125793]","[-1.2393736839294434, 0.11786697804927826]","[-0.29423680901527405, 0.04656154662370682]","[-0.8502979278564453, 2.1890947818756104]"
62,"[-0.05417175963521004, 0.1341688483953476]","[-1.1775082349777222, 0.11109130084514618]","[-0.27659446001052856, 0.0458749458193779]","[-0.8515087366104126, 1.9960676431655884]"
63,"[-0.050298456102609634, 0.12699824571609497]","[-1.116886854171753, 0.10508020222187042]","[-0.25995367765426636, 0.045117028057575226]","[-0.847886860370636, 1.83433198928833]"
64,"[-0.04668672755360603, 0.12021173536777496]","[-1.0577784776687622, 0.09982696175575256]","[-0.2442634403705597, 0.044296249747276306]","[-0.840569794178009, 1.6971921920776367]"
65,"[-0.04331977292895317, 0.11378853023052216]","[-1.0004236698150635, 0.09530629962682724]","[-0.2294730246067047, 0.04342174530029297]","[-0.8303551077842712, 1.5793296098709106]"
66,"[-0.040182095021009445, 0.10770779848098755]","[-0.945030927658081, 0.09147785604000092]","[-0.21553519368171692, 0.04250117391347885]","[-0.8178147673606873, 1.4765876531600952]"
67,"[-0.03725866600871086, 0.10195194184780121]","[-0.8917699456214905, 0.08828796446323395]","[-0.20240400731563568, 0.041542112827301025]","[-0.803367018699646, 1.3857471942901611]"
68,"[-1.597135305404663, 1.2818018198013306]","[-0.8407702445983887, 0.08567240834236145]","[-0.1900356560945511, 0.0405513197183609]","[-0.787322461605072, 1.3043333292007446]"
69,"[-1.5611677169799805, 1.0625474452972412]","[-0.7921194434165955, 0.08356046676635742]","[-0.1783885508775711, 0.039535537362098694]","[-0.769913375377655, 1.2304521799087524]"
70,"[-1.516543984413147, 0.8951570987701416]","[-0.7458654046058655, 0.08187837898731232]","[-0.16742296516895294, 0.03850014507770538]","[-0.7513151168823242, 1.1626598834991455]"
71,"[-1.4658130407333374, 0.7696762681007385]","[-0.702018678188324, 0.08055172115564346]","[-0.15710105001926422, 0.03745054453611374]","[-0.7316632866859436, 1.0998616218566895]"
72,"[-1.411259412765503, 0.6763964295387268]","[-0.6605567932128906, 0.07950899004936218]","[-0.14738711714744568, 0.03639239817857742]","[-0.7110658288002014, 1.041227102279663]"
73,"[-1.3548102378845215, 0.6067288517951965]","[-0.6214295625686646, 0.07868336141109467]","[-0.13824737071990967, 0.03532913327217102]","[-0.6896148920059204, 0.9861302971839905]"
74,"[-1.297912836074829, 0.5537661910057068]","[-0.5845654010772705, 0.07801400870084763]","[-0.1296493113040924, 0.03426522761583328]","[-0.6673940420150757, 0.9340988993644714]"
75,"[-1.24152672290802, 0.5123608708381653]","[-0.5498752593994141, 0.0774477943778038]","[-0.12156249582767487, 0.033203817903995514]","[-0.6444855332374573, 0.8847785592079163]"
76,"[-1.1862157583236694, 0.4788799583911896]","[-0.5172595977783203, 0.07693953812122345]","[-0.11395815014839172, 0.03214842826128006]","[-0.6209760308265686, 0.8379027247428894]"
77,"[-1.1322658061981201, 0.45085078477859497]","[-0.4866116940975189, 0.07645132392644882]","[-0.10680866241455078, 0.031101854518055916]","[-0.5969586372375488, 0.7932734489440918]"
78,"[-1.0797924995422363, 0.4266299903392792]","[-0.4578225016593933, 0.07595302909612656]","[-0.10008811950683594, 0.030066872015595436]","[-0.5725376605987549, 0.7507418990135193]"
79,"[-1.0288203954696655, 0.40514031052589417]","[-0.4307820498943329, 0.07542136311531067]","[-0.09377218782901764, 0.02904508449137211]","[-0.5478260517120361, 0.7101980447769165]"
80,"[-0.9793356657028198, 0.3856793940067291]","[-0.4053836166858673, 0.07483874261379242]","[-0.08783750236034393, 0.02803860791027546]","[-0.5229470133781433, 0.6715577840805054]"
81,"[-0.9313154220581055, 0.3677878975868225]","[-0.38152411580085754, 0.07419322431087494]","[-0.08226202428340912, 0.027049342170357704]","[-0.4980309307575226, 0.6347566843032837]"
82,"[-0.8847451210021973, 0.3511629104614258]","[-0.35910502076148987, 0.07347702980041504]","[-0.07702487707138062, 0.02607898600399494]","[-0.47321274876594543, 0.5997429490089417]"
83,"[-0.8396230936050415, 0.3356005847454071]","[-0.3380340039730072, 0.07268603891134262]","[-0.07210701704025269, 0.025127949193120003]","[-0.44862794876098633, 0.5664711594581604]"
84,"[-0.7959601879119873, 0.3209598958492279]","[-0.3182236850261688, 0.0718185231089592]","[-0.06748931109905243, 0.02419755794107914]","[-0.4244089722633362, 0.5348982810974121]"
85,"[-0.7537780404090881, 0.3071390390396118]","[-0.2995934784412384, 0.07087592035531998]","[-0.06315429508686066, 0.023288751021027565]","[-0.400680810213089, 0.5049810409545898]"
86,"[-0.7131034731864929, 0.29406067728996277]","[-0.28206756711006165, 0.06986039876937866]","[-0.05908580496907234, 0.022402258589863777]","[-0.37755754590034485, 0.47667255997657776]"
87,"[-0.6739643812179565, 0.28166329860687256]","[-0.2655758559703827, 0.0687762200832367]","[-0.05526769533753395, 0.02153862453997135]","[-0.3551386296749115, 0.44992175698280334]"
88,"[-0.6363860964775085, 0.26989465951919556]","[-0.250053346157074, 0.06762836873531342]","[-0.051685478538274765, 0.02069791592657566]","[-0.3335084021091461, 0.4246731996536255]"
89,"[-0.6003870964050293, 0.2587096095085144]","[-0.23543956875801086, 0.06642185151576996]","[-0.04832519218325615, 0.019880542531609535]","[-0.31273359060287476, 0.4008657932281494]"
90,"[-0.5659775137901306, 0.24806754291057587]","[-0.22167834639549255, 0.06516282260417938]","[-0.04517372325062752, 0.019086936488747597]","[-0.29286307096481323, 0.37843582034111023]"
91,"[-0.533158004283905, 0.23793081939220428]","[-0.20871762931346893, 0.06385721266269684]","[-0.04221847280859947, 0.018316814675927162]","[-0.2739297151565552, 0.35731613636016846]"
92,"[-0.5019183158874512, 0.2282649129629135]","[-0.19650882482528687, 0.06251123547554016]","[-0.03944797441363335, 0.01757034845650196]","[-0.25595054030418396, 0.3374379873275757]"
93,"[-0.4722386300563812, 0.2190379649400711]","[-0.18500696122646332, 0.06113072484731674]","[-0.036850955337285995, 0.01684732921421528]","[-0.23892909288406372, 0.3187328279018402]"
94,"[-0.44408926367759705, 0.2102201282978058]","[-0.17416958510875702, 0.05972182750701904]","[-0.5381383895874023, 0.32423704862594604]","[-0.2228567898273468, 0.3011322319507599]"
95,"[-0.4174325168132782, 0.20178444683551788]","[-0.1639578491449356, 0.05828952044248581]","[-0.5006393790245056, 0.21996863186359406]","[-0.20771534740924835, 0.28457018733024597]"
96,"[-0.3922240734100342, 0.19370613992214203]","[-0.1543346792459488, 0.056839875876903534]","[-0.4577694237232208, 0.15943457186222076]","[-0.19347980618476868, 0.26898252964019775]"
97,"[-0.36841434240341187, 0.18596236407756805]","[-0.14526592195034027, 0.05537743866443634]","[-0.4158807396888733, 0.12493693828582764]","[-0.18011853098869324, 0.25430813431739807]"
98,"[-0.34594905376434326, 0.17853260040283203]","[-0.13671919703483582, 0.05390729010105133]","[-0.37783268094062805, 0.10536883771419525]","[-0.16759611666202545, 0.24048899114131927]"
99,"[-0.3247714936733246, 0.1713981032371521]","[-0.12866435945034027, 0.052433595061302185]","[-0.344442218542099, 0.09412003308534622]","[-0.1558740735054016, 0.22747139632701874]"
100,"[-0.3048236072063446, 0.1645427644252777]","[-0.12107335031032562, 0.05096057802438736]","[-0.3155170679092407, 0.08737128227949142]","[-0.14491260051727295, 0.21520361304283142]"
101,"[-0.28604617714881897, 0.15795186161994934]","[-0.11391916871070862, 0.04949218034744263]","[-0.2904635965824127, 0.08297000825405121]","[-0.13467174768447876, 0.20363874733448029]"
102,"[-0.26838061213493347, 0.1516113132238388]","[-0.10717721283435822, 0.04803161323070526]","[-0.26860448718070984, 0.07973691821098328]","[-0.1251109391450882, 0.1927320808172226]"
103,"[-0.25176894664764404, 0.14550931751728058]","[-0.10082356631755829, 0.04658214747905731]","[-0.24931934475898743, 0.07704794406890869]","[-0.11619089543819427, 0.1824422925710678]"
104,"[-0.23615437746047974, 0.13963554799556732]","[-0.09483657777309418, 0.045146673917770386]","[-0.2320965826511383, 0.07458950579166412]","[-0.10787288844585419, 0.17273099720478058]"
105,"[-0.2214823067188263, 0.13398006558418274]","[-0.0891956090927124, 0.04372765123844147]","[-0.21653655171394348, 0.072215735912323]","[-0.10012014210224152, 0.16356226801872253]"
106,"[-0.2076994776725769, 0.12853342294692993]","[-0.08388029038906097, 0.042327314615249634]","[-0.20233720541000366, 0.06986771523952484]","[-0.09289683401584625, 0.15490329265594482]"
107,"[-0.19475500285625458, 0.12328849732875824]","[-0.07887238264083862, 0.04094795882701874]","[-0.1892741471529007, 0.0675288662314415]","[-0.08616933226585388, 0.14672322571277618]"
108,"[-0.18260087072849274, 0.11823685467243195]","[-0.07415463030338287, 0.039591118693351746]","[-0.17718127369880676, 0.06520237028598785]","[-0.07990540564060211, 0.13899317383766174]"
109,"[-0.1711902767419815, 0.11337180435657501]","[-0.06971052289009094, 0.03825831413269043]","[-0.16593457758426666, 0.0628972202539444]","[-0.07407526671886444, 0.13168610632419586]"
110,"[-0.16047969460487366, 0.10868695378303528]","[-0.06552435457706451, 0.036951154470443726]","[-0.15544018149375916, 0.06062357872724533]","[-0.06864938139915466, 0.1247774213552475]"
111,"[-0.15042735636234283, 0.10417601466178894]","[-0.06158173456788063, 0.03567048907279968]","[-0.14562557637691498, 0.05839085578918457]","[-0.0636015385389328, 0.11824360489845276]"
112,"[-0.14099402725696564, 0.09983311593532562]","[-0.057868797332048416, 0.03441751003265381]","[-0.1364329606294632, 0.05620593577623367]","[-0.05890612676739693, 0.11206276714801788]"
113,"[-0.13214229047298431, 0.09565293043851852]","[-0.054372455924749374, 0.03319299966096878]","[-0.1278138905763626, 0.054073870182037354]","[-0.054539602249860764, 0.10621479153633118]"
114,"[-0.12383715808391571, 0.0916302502155304]","[-0.05108051374554634, 0.03199748694896698]","[-0.11972770094871521, 0.05199751257896423]","[-0.050479914993047714, 0.1006803810596466]"
115,"[-0.11604565382003784, 0.0877595990896225]","[-0.047981251031160355, 0.030831551179289818]","[-0.11213856935501099, 0.04997968673706055]","[-0.04670591279864311, 0.09544206410646439]"
116,"[0.020073916763067245, -2.4276158809661865]","[-0.045063961297273636, 0.029695404693484306]","[-0.1050148457288742, 0.04802102595567703]","[-0.043198492377996445, 0.09048285335302353]"
117,"[0.11863526701927185, -2.196563959121704]","[-0.04231802001595497, 0.028589388355612755]","[-0.09832735359668732, 0.0461224764585495]","[-0.03993916139006615, 0.0857873409986496]"
118,"[0.1820136308670044, -2.003997564315796]","[-0.03973357751965523, 0.027513640001416206]","[-0.0920494943857193, 0.044283151626586914]","[-0.036911096423864365, 0.0813407152891159]"
119,"[0.221975177526474, -1.8423177003860474]","[-0.037301626056432724, 0.02646813727915287]","[-0.08615663647651672, 0.04250260442495346]","[-0.03409862145781517, 0.07712918519973755]"
120,"[0.24630486965179443, -1.7051621675491333]","[-0.03501320257782936, 0.025452958419919014]","[-0.08062537014484406, 0.04078073799610138]","[-0.03148685023188591, 0.07313945144414902]"
121,"[0.26013562083244324, -1.5873463153839111]","[-0.032860103994607925, 0.024467917159199715]","[-0.07543422281742096, 0.03911580890417099]","[-0.02906159684062004, 0.06935951858758926]"
122,"[0.2668730616569519, -1.4847218990325928]","[-0.03083517774939537, 0.023512596264481544]","[-0.07056310772895813, 0.03750767558813095]","[-0.02681051567196846, 0.06577809900045395]"
123,"[0.26879459619522095, -1.3940142393112183]","[-0.028930317610502243, 0.022586995735764503]","[-0.06599278748035431, 0.03595447540283203]","[-0.024720948189496994, 0.06238450109958649]"
124,"[0.26743027567863464, -1.312669277191162]","[-0.02713898941874504, 0.02169063128530979]","[-0.061705369502305984, 0.03445563465356827]","[-0.022782396525144577, 0.05916818231344223]"
125,"[0.26381003856658936, -1.2387229204177856]","[-0.02545449510216713, 0.020823171362280846]","[-0.0576837994158268, 0.03300979733467102]","[-0.5723778009414673, 1.2533305883407593]"
126,"[0.25862637162208557, -1.1706854104995728]","[-0.02387053892016411, 0.019984154030680656]","[-0.05391240492463112, 0.03161538392305374]","[-0.5828058123588562, 1.036967158317566]"
127,"[0.25234195590019226, -1.1074457168579102]","[-0.022381309419870377, 0.0191731508821249]","[-0.05037606880068779, 0.03027166612446308]","[-0.5755639672279358, 0.8690943717956543]"
128,"[0.24526524543762207, -1.0481908321380615]","[-0.020981717854738235, 0.018389621749520302]","[-0.047060538083314896, 0.028977179899811745]","[-0.5560728907585144, 0.7414712309837341]"
129,"[0.2376020848751068, -0.9923367500305176]","[-0.019666261970996857, 0.017633067443966866]","[-0.04395299032330513, 0.027730533853173256]","[-0.5289425253868103, 0.6454500555992126]"
130,"[0.22949208319187164, -0.9394723773002625]","[-0.018430102616548538, 0.016903026029467583]","[-0.04104055091738701, 0.026530424132943153]","[-0.4978708326816559, 0.573016881942749]"
131,"[0.22103387117385864, -0.889312207698822]","[-0.017268553376197815, 0.01619851402938366]","[-0.03831159695982933, 0.025375941768288612]","[-0.46553757786750793, 0.5175238251686096]"
132,"[0.21230241656303406, -0.8416601419448853]","[-0.01617751643061638, 0.015519315376877785]","[-0.03575480356812477, 0.024265402927994728]","[-0.43367668986320496, 0.47390493750572205]"
133,"[0.203360915184021, -0.7963783740997314]","[-0.015152405947446823, 0.014864848926663399]","[-0.03335997089743614, 0.02319745160639286]","[-0.4032737910747528, 0.43852585554122925]"
134,"[0.19426749646663666, -0.7533656358718872]","[-0.014189992100000381, 0.014234425500035286]","[-0.031117375940084457, 0.022171536460518837]","[-0.3747941851615906, 0.40888068079948425]"
135,"[0.18507936596870422, -0.7125401496887207]","[-0.013285983353853226, 0.01362716592848301]","[-0.02901746705174446, 0.021185288205742836]","[-0.3483779728412628, 0.3832859694957733]"
136,"[0.17585435509681702, -0.6738280057907104]","[-0.012437298893928528, 0.013042787089943886]","[-0.027051646262407303, 0.02023850567638874]","[-0.32398340106010437, 0.3606295883655548]"
137,"[0.16665013134479523, -0.6371572613716125]","[-0.011640489101409912, 0.012480458244681358]","[-0.025211665779352188, 0.019329296424984932]","[-0.3014810085296631, 0.3401804268360138]"
138,"[0.15752363204956055, -0.6024535298347473]","[-0.010892603546380997, 0.011939777061343193]","[-0.023489873856306076, 0.018456848338246346]","[-0.2807084321975708, 0.3214578330516815]"
139,"[0.14852957427501678, -0.56963711977005]","[-0.010190851986408234, 0.011419864371418953]","[-0.021879103034734726, 0.0176199022680521]","[-0.26150164008140564, 0.3041418492794037]"
140,"[0.13971823453903198, -0.5386261343955994]","[-0.4893239438533783, 0.7246094346046448]","[-0.0203724205493927, 0.01681726612150669]","[-0.24370869994163513, 0.28801578283309937]"
141,"[0.13113461434841156, -0.5093345642089844]","[-0.49354037642478943, 0.5416074395179749]","[-0.01896335929632187, 0.01604750193655491]","[-0.22719454765319824, 0.2729266583919525]"
142,"[0.122817263007164, -0.4816756546497345]","[-0.4766305983066559, 0.4220363199710846]","[-0.017645809799432755, 0.01530991680920124]","[-0.21184301376342773, 0.2587623596191406]"
143,"[0.1147979348897934, -0.45556262135505676]","[-0.44895827770233154, 0.3465573489665985]","[-0.016414448618888855, 0.01460309512913227]","[-0.19755321741104126, 0.24543748795986176]"
144,"[0.1071012020111084, -0.43090951442718506]","[-0.4176279306411743, 0.2992094159126282]","[-0.015263620764017105, 0.013926060870289803]","[-0.184238463640213, 0.23288197815418243]"
145,"[0.09974503517150879, -0.40763378143310547]","[-0.3866659700870514, 0.2688887417316437]","[-0.01418820396065712, 0.013277621939778328]","[-0.17182251811027527, 0.22103825211524963]"
146,"[0.0927409827709198, -0.38565516471862793]","[-0.35794001817703247, 0.24854813516139984]","[-0.013183742761611938, 0.012656854465603828]","[-0.16023871302604675, 0.20985578000545502]"
147,"[0.086094930768013, -0.3648976981639862]","[-0.3320525884628296, 0.23393721878528595]","[-0.012245580554008484, 0.012062916532158852]","[-0.1494276076555252, 0.1992892473936081]"
148,"[0.07980793714523315, -0.3452892601490021]","[-0.30896440148353577, 0.22257472574710846]","[-0.01136978343129158, 0.011494288221001625]","[-0.1393347531557083, 0.18929873406887054]"
149,"[0.07387696951627731, -0.32676178216934204]","[-0.28836819529533386, 0.21304896473884583]","[-0.010552220046520233, 0.01095050759613514]","[-0.12991143763065338, 0.17984727025032043]"
150,"[0.0682954341173172, -0.3092516362667084]","[-0.26988542079925537, 0.20457641780376434]","[-0.009789273142814636, 0.010430442169308662]","[-0.1211126446723938, 0.17090071737766266]"
151,"[0.06305448710918427, -0.2926991283893585]","[-0.2531578242778778, 0.19673368334770203]","[-0.00907742977142334, 0.009933503344655037]","[-0.1128963977098465, 0.16242839395999908]"
152,"[0.05814296379685402, -0.277048259973526]","[-0.23788288235664368, 0.1892998367547989]","[-0.008413679897785187, 0.009458186104893684]","[-0.10522441565990448, 0.15440116822719574]"
153,"[0.053548239171504974, -0.26224687695503235]","[-0.2238193154335022, 0.18216335773468018]","[-0.0077948011457920074, 0.009004319086670876]","[-0.09806063771247864, 0.14679282903671265]"
